,DateTime,Time,EX,SYM_ROOT,BID,BIDSIZ,ASK,ASKSIZ,NATBBO_IND,QU_COND
28559,2018-01-04,09:34:36.565371,P,AAPL,172.83,1,172.85,2,0,R
28560,2018-01-04,09:34:36.565382,Q,AAPL,172.83,6,172.85,3,0,R
28561,2018-01-04,09:34:36.565406,K,AAPL,172.82,5,172.85,3,0,R
28562,2018-01-04,09:34:36.583872,Q,AAPL,172.83,5,172.85,3,2,R
28563,2018-01-04,09:34:36.583942,Q,AAPL,172.83,6,172.85,3,2,R
28564,2018-01-04,09:34:36.583977,Q,AAPL,172.83,7,172.85,3,2,R
28565,2018-01-04,09:34:36.584598,P,AAPL,172.83,1,172.84,1,0,R
28566,2018-01-04,09:34:36.589944,K,AAPL,172.83,1,172.85,3,0,R
28567,2018-01-04,09:34:36.614312,B,AAPL,172.8,3,172.86,1,0,R
28568,2018-01-04,09:34:36.614330,Q,AAPL,172.83,6,172.85,3,2,R
28569,2018-01-04,09:34:36.614330,Q,AAPL,172.83,5,172.85,3,2,R
28570,2018-01-04,09:34:36.614333,Q,AAPL,172.83,4,172.85,3,2,R
28571,2018-01-04,09:34:36.614334,Q,AAPL,172.83,3,172.85,3,2,R
28572,2018-01-04,09:34:36.614346,Q,AAPL,172.83,2,172.85,3,2,R
28573,2018-01-04,09:34:36.614346,Q,AAPL,172.83,1,172.85,3,2,R
28574,2018-01-04,09:34:36.614346,Q,AAPL,172.82,11,172.85,3,0,R
28575,2018-01-04,09:34:36.614346,Q,AAPL,172.82,5,172.85,3,0,R
28576,2018-01-04,09:34:36.614359,Q,AAPL,172.82,3,172.85,3,0,R
28577,2018-01-04,09:34:36.614361,Q,AAPL,172.82,3,172.84,1,0,R
28578,2018-01-04,09:34:36.614363,Q,AAPL,172.81,5,172.84,1,0,R
28579,2018-01-04,09:34:36.614378,B,AAPL,172.8,2,172.86,1,0,R
28580,2018-01-04,09:34:36.614399,Q,AAPL,172.81,1,172.84,1,0,R
28581,2018-01-04,09:34:36.614416,Q,AAPL,172.81,1,172.84,4,2,R
28582,2018-01-04,09:34:36.614490,K,AAPL,172.82,5,172.85,3,0,R
28583,2018-01-04,09:34:36.614502,K,AAPL,172.81,2,172.85,3,0,R
28584,2018-01-04,09:34:36.614507,Y,AAPL,172.8,1,172.86,1,0,R
28585,2018-01-04,09:34:36.614513,Z,AAPL,172.82,4,172.84,3,2,R
28586,2018-01-04,09:34:36.614524,Z,AAPL,172.82,1,172.84,3,0,R
28587,2018-01-04,09:34:36.614570,Z,AAPL,172.82,1,172.84,4,0,R
28588,2018-01-04,09:34:36.614577,P,AAPL,172.81,1,172.84,1,2,R
28589,2018-01-04,09:34:36.614586,K,AAPL,172.81,2,172.84,1,0,R
28590,2018-01-04,09:34:36.614589,Z,AAPL,172.82,1,172.84,5,4,R
28591,2018-01-04,09:34:36.614609,Y,AAPL,172.8,1,172.86,2,0,R
28592,2018-01-04,09:34:36.614616,Z,AAPL,172.82,1,172.84,6,4,R
28593,2018-01-04,09:34:36.614620,Q,AAPL,172.81,1,172.83,7,2,R
28594,2018-01-04,09:34:36.614624,K,AAPL,172.8,26,172.84,1,0,R
28595,2018-01-04,09:34:36.614636,Y,AAPL,172.79,1,172.86,2,0,R
28596,2018-01-04,09:34:36.614637,B,AAPL,172.8,2,172.84,1,0,R
28597,2018-01-04,09:34:36.614640,Z,AAPL,172.81,5,172.84,6,2,R
28598,2018-01-04,09:34:36.614650,K,AAPL,172.8,26,172.84,7,0,R
28599,2018-01-04,09:34:36.614651,Q,AAPL,172.81,1,172.83,8,2,R
28600,2018-01-04,09:34:36.614652,P,AAPL,172.81,1,172.84,2,0,R
28601,2018-01-04,09:34:36.614653,Z,AAPL,172.81,5,172.84,6,0,R
28602,2018-01-04,09:34:36.614663,P,AAPL,172.81,1,172.84,3,0,R
28603,2018-01-04,09:34:36.614664,B,AAPL,172.8,2,172.86,1,0,R
28604,2018-01-04,09:34:36.614673,P,AAPL,172.81,1,172.84,2,0,R
28605,2018-01-04,09:34:36.614673,Y,AAPL,172.79,1,172.86,2,0,R
28606,2018-01-04,09:34:36.614679,Z,AAPL,172.8,4,172.84,6,2,R
28607,2018-01-04,09:34:36.614681,B,AAPL,172.8,2,172.84,1,0,R
28608,2018-01-04,09:34:36.614685,K,AAPL,172.8,22,172.84,7,0,R
28609,2018-01-04,09:34:36.614693,B,AAPL,172.8,2,172.84,2,0,R
28610,2018-01-04,09:34:36.614702,Y,AAPL,172.79,1,172.86,3,0,R
28611,2018-01-04,09:34:36.614704,Z,AAPL,172.79,4,172.84,10,0,R
28612,2018-01-04,09:34:36.614712,B,AAPL,172.8,2,172.84,3,0,R
28613,2018-01-04,09:34:36.614716,P,AAPL,172.81,1,172.84,1,0,R
28614,2018-01-04,09:34:36.614722,B,AAPL,172.8,2,172.84,2,0,R
28615,2018-01-04,09:34:36.614734,B,AAPL,172.8,1,172.84,2,0,R
28616,2018-01-04,09:34:36.614736,Z,AAPL,172.79,4,172.83,1,0,R
28617,2018-01-04,09:34:36.614747,B,AAPL,172.8,1,172.84,3,0,R
28618,2018-01-04,09:34:36.614749,B,AAPL,172.8,1,172.83,1,0,R
28619,2018-01-04,09:34:36.614759,Z,AAPL,172.79,4,172.83,22,2,R
28620,2018-01-04,09:34:36.614766,Y,AAPL,172.79,1,172.85,1,0,R
28621,2018-01-04,09:34:36.614804,Y,AAPL,172.79,1,172.84,1,0,R
28622,2018-01-04,09:34:36.614809,Z,AAPL,172.79,4,172.83,2,2,R
28623,2018-01-04,09:34:36.614825,Z,AAPL,172.79,4,172.83,3,0,R
28624,2018-01-04,09:34:36.614835,Z,AAPL,172.79,4,172.83,8,0,R
28625,2018-01-04,09:34:36.614882,K,AAPL,172.8,22,172.83,7,0,R
28626,2018-01-04,09:34:36.614916,K,AAPL,172.8,22,172.84,7,0,R
28627,2018-01-04,09:34:36.614932,Z,AAPL,172.79,4,172.83,3,0,R
28628,2018-01-04,09:34:36.614971,K,AAPL,172.8,22,172.83,1,0,R
